yr,mnth,hr,holiday,workingday,casual,registered,cnt,time_of_day
0,1,7,1,0,4,9,13,Pagi
0,1,8,1,0,3,30,33,Pagi
0,1,9,1,0,8,39,47,Pagi
0,1,10,1,0,7,50,57,Pagi
0,1,11,1,0,9,55,64,Siang
0,1,12,1,0,10,70,80,Siang
0,1,13,1,0,13,80,93,Siang
0,1,14,1,0,12,74,86,Siang
0,1,15,1,0,21,72,93,Siang
0,1,16,1,0,6,76,82,Siang
0,1,17,1,0,4,67,71,Sore
0,1,18,1,0,7,85,92,Sore
0,1,19,1,0,2,58,60,Sore
0,1,20,1,0,4,29,33,Sore
0,1,21,1,0,3,24,27,Sore
0,1,22,1,0,0,13,13,Sore
0,1,23,1,0,1,3,4,
0,1,12,0,1,0,3,3,Siang
0,1,13,0,1,0,22,22,Siang
0,1,14,0,1,2,26,28,Siang
0,1,15,0,1,3,32,35,Siang
0,1,16,0,1,0,61,61,Siang
0,1,17,0,1,1,124,125,Sore
0,1,18,0,1,1,132,133,Sore
0,1,19,0,1,1,98,99,Sore
0,1,20,0,1,0,83,83,Sore
0,1,21,0,1,0,41,41,Sore
0,1,22,0,1,0,33,33,Sore
0,1,23,0,1,1,19,20,
0,1,0,0,1,0,3,3,Malam
0,1,1,0,1,1,6,7,Malam
0,1,2,0,1,0,3,3,Malam
0,1,4,0,1,1,1,2,Malam
0,1,5,0,1,0,7,7,Pagi
0,1,6,0,1,0,32,32,Pagi
0,1,7,0,1,1,89,90,Pagi
0,1,8,0,1,1,196,197,Pagi
0,1,9,0,1,2,107,109,Pagi
0,1,10,0,1,1,46,47,Pagi
0,1,11,0,1,5,47,52,Siang
0,1,12,0,1,5,65,70,Siang
0,1,13,0,1,11,67,78,Siang
0,1,14,0,1,7,68,75,Siang
0,1,15,0,1,4,78,82,Siang
0,1,16,0,1,10,94,104,Siang
0,1,17,0,1,7,190,197,Sore
0,1,18,0,1,5,156,161,Sore
0,1,19,0,1,4,108,112,Sore
0,1,20,0,1,2,74,76,Sore
0,1,21,0,1,4,55,59,Sore
0,1,22,0,1,6,53,59,Sore
0,1,23,0,1,1,27,28,
0,1,0,0,1,5,8,13,Malam
0,1,1,0,1,2,3,5,Malam
0,1,2,0,1,0,2,2,Malam
0,1,3,0,1,0,1,1,Malam
0,1,4,0,1,0,1,1,Malam
0,1,5,0,1,0,6,6,Pagi
0,1,6,0,1,0,35,35,Pagi
0,1,7,0,1,1,100,101,Pagi
0,1,8,0,1,2,247,249,Pagi
0,1,9,0,1,3,140,143,Pagi
0,1,10,0,1,1,56,57,Pagi
0,1,11,0,1,5,63,68,Siang
0,1,12,0,1,7,77,84,Siang
0,1,13,0,1,12,86,98,Siang
0,1,14,0,1,6,75,81,Siang
0,1,15,0,1,8,62,70,Siang
0,1,16,0,1,8,83,91,Siang
0,1,17,0,1,8,207,215,Sore
0,1,18,0,1,1,184,185,Sore
0,1,19,0,1,6,146,152,Sore
0,1,20,0,1,2,124,126,Sore
0,1,21,0,1,3,54,57,Sore
0,1,22,0,1,0,56,56,Sore
0,1,23,0,1,3,28,31,
0,1,0,0,1,1,20,21,Malam
0,1,1,0,1,0,6,6,Malam
0,1,2,0,1,0,2,2,Malam
0,1,3,0,1,0,1,1,Malam
0,1,4,0,1,0,1,1,Malam
0,1,5,0,1,1,4,5,Pagi
0,1,6,0,1,0,27,27,Pagi
0,1,7,0,1,2,66,68,Pagi
0,1,8,0,1,7,210,217,Pagi
0,1,9,0,1,7,159,166,Pagi
0,1,10,0,1,6,57,63,Pagi
0,1,11,0,1,6,53,59,Siang
0,1,12,0,1,11,67,78,Siang
0,1,13,0,1,8,65,73,Siang
0,1,14,0,1,6,56,62,Siang
0,1,15,0,1,4,61,65,Siang
0,1,16,0,1,0,97,97,Siang
0,1,17,0,1,10,151,161,Sore
0,1,18,0,1,1,119,120,Sore
0,1,19,0,1,3,93,96,Sore
0,1,20,0,1,1,52,53,Sore
0,1,21,0,1,0,41,41,Sore
0,1,22,0,1,1,33,34,Sore
0,1,23,0,1,0,27,27,
0,1,0,0,0,0,13,13,Malam
0,1,1,0,0,3,9,12,Malam
0,1,2,0,0,0,11,11,Malam
0,1,3,0,0,1,6,7,Malam
0,1,4,0,0,0,3,3,Malam
0,1,6,0,0,0,2,2,Pagi
0,1,7,0,0,0,8,8,Pagi
0,1,8,0,0,1,26,27,Pagi
0,1,9,0,0,3,37,40,Pagi
0,1,10,0,0,3,50,53,Pagi
0,1,11,0,0,4,59,63,Siang
0,1,12,0,0,10,60,70,Siang
0,1,13,0,0,12,72,84,Siang
0,1,14,0,0,11,64,75,Siang
0,1,15,0,0,10,93,103,Siang
0,1,16,0,0,11,72,83,Siang
0,1,17,0,0,8,59,67,Sore
0,1,18,0,0,0,54,54,Sore
0,1,19,0,0,6,53,59,Sore
0,1,20,0,0,1,44,45,Sore
0,1,21,0,0,0,39,39,Sore
0,1,22,0,0,7,23,30,Sore
0,1,23,0,0,2,31,33,
0,1,0,0,0,2,20,22,Malam
0,1,1,0,0,1,12,13,Malam
0,1,2,0,0,3,15,18,Malam
0,1,3,0,0,1,4,5,Malam
0,1,5,0,0,0,3,3,Pagi
0,1,6,0,0,0,1,1,Pagi
0,1,7,0,0,1,1,2,Pagi
0,1,8,0,0,2,17,19,Pagi
0,1,9,0,0,3,25,28,Pagi
0,1,10,0,0,7,51,58,Pagi
0,1,11,0,0,22,77,99,Siang
0,1,12,0,0,24,92,116,Siang
0,1,13,0,0,12,75,87,Siang
0,1,14,0,0,17,93,110,Siang
0,1,15,0,0,13,64,77,Siang
0,1,16,0,0,9,56,65,Siang
0,1,17,0,0,5,50,55,Sore
0,1,18,0,0,5,44,49,Sore
0,1,19,0,0,5,45,50,Sore
0,1,20,0,0,4,31,35,Sore
0,1,21,0,0,5,20,25,Sore
0,1,22,0,0,5,23,28,Sore
0,1,23,0,0,4,17,21,
0,1,0,0,1,0,7,7,Malam
0,1,1,0,1,0,1,1,Malam
0,1,3,0,1,0,1,1,Malam
0,1,4,0,1,0,1,1,Malam
0,1,5,0,1,0,5,5,Pagi
0,1,6,0,1,0,15,15,Pagi
0,1,7,0,1,5,79,84,Pagi
0,1,8,0,1,6,171,177,Pagi
0,1,9,0,1,4,98,102,Pagi
0,1,10,0,1,6,34,40,Pagi
0,1,11,0,1,3,43,46,Siang
0,1,12,0,1,11,52,63,Siang
0,1,13,0,1,6,54,60,Siang
0,1,14,0,1,2,43,45,Siang
0,1,15,0,1,7,50,57,Siang
0,1,16,0,1,4,66,70,Siang
0,1,17,0,1,6,178,184,Sore
0,1,18,0,1,8,145,153,Sore
0,1,19,0,1,5,101,106,Sore
0,1,20,0,1,1,80,81,Sore
0,1,21,0,1,6,53,59,Sore
0,1,22,0,1,3,32,35,Sore
0,1,23,0,1,3,21,24,
0,1,0,0,1,3,6,9,Malam
0,1,1,0,1,0,5,5,Malam
0,1,2,0,1,0,2,2,Malam
0,1,4,0,1,0,1,1,Malam
0,1,5,0,1,0,9,9,Pagi
0,1,6,0,1,1,35,36,Pagi
0,1,7,0,1,5,103,108,Pagi
0,1,8,0,1,5,233,238,Pagi
0,1,9,0,1,10,134,144,Pagi
0,1,10,0,1,6,49,55,Pagi
0,1,11,0,1,6,55,61,Siang
0,1,12,0,1,21,85,106,Siang
0,1,13,0,1,21,72,93,Siang
0,1,14,0,1,11,57,68,Siang
0,1,15,0,1,21,63,84,Siang
0,1,16,0,1,14,102,116,Siang
0,1,17,0,1,14,208,222,Sore
0,1,18,0,1,7,218,225,Sore
0,1,19,0,1,13,133,146,Sore
0,1,20,0,1,16,103,119,Sore
0,1,21,0,1,5,40,45,Sore
0,1,22,0,1,4,49,53,Sore
0,1,23,0,1,3,37,40,
0,1,0,0,1,3,14,17,Malam
0,1,1,0,1,0,5,5,Malam
0,1,2,0,1,3,7,10,Malam
0,1,5,0,1,0,1,1,Pagi
0,1,6,0,1,0,8,8,Pagi
0,1,7,0,1,1,29,30,Pagi
0,1,8,0,1,3,69,72,Pagi
0,1,9,0,1,3,55,58,Pagi
0,1,10,0,1,2,26,28,Pagi
0,1,11,0,1,6,35,41,Siang
0,1,12,0,1,7,41,48,Siang
0,1,13,0,1,4,43,47,Siang
0,1,14,0,1,0,36,36,Siang
0,1,15,0,1,1,42,43,Siang
0,1,16,0,1,1,35,36,Siang
0,1,17,0,1,0,26,26,Sore
0,1,16,0,1,1,23,24,Siang
0,1,17,0,1,2,82,84,Sore
0,1,18,0,1,3,101,104,Sore
0,1,19,0,1,3,76,79,Sore
0,1,20,0,1,4,55,59,Sore
0,1,21,0,1,2,36,38,Sore
0,1,22,0,1,0,27,27,Sore
0,1,23,0,1,0,16,16,
0,1,0,0,1,0,9,9,Malam
0,1,1,0,1,1,2,3,Malam
0,1,2,0,1,0,2,2,Malam
0,1,3,0,1,1,0,1,Malam
0,1,5,0,1,0,4,4,Pagi
0,1,6,0,1,0,16,16,Pagi
0,1,7,0,1,2,58,60,Pagi
0,1,8,0,1,2,155,157,Pagi
0,1,9,0,1,6,95,101,Pagi
0,1,10,0,1,0,49,49,Pagi
0,1,11,0,1,0,30,30,Siang
0,1,12,0,1,1,28,29,Siang
0,1,13,0,1,0,31,31,Siang
0,1,14,0,1,2,36,38,Siang
0,1,15,0,1,1,40,41,Siang
0,1,16,0,1,10,70,80,Siang
0,1,17,0,1,2,147,149,Sore
0,1,18,0,1,2,107,109,Sore
0,1,19,0,1,5,84,89,Sore
0,1,20,0,1,1,61,62,Sore
0,1,21,0,1,1,57,58,Sore
0,1,22,0,1,0,26,26,Sore
0,1,23,0,1,1,22,23,
0,1,0,0,0,2,26,28,Malam
0,1,1,0,0,0,20,20,Malam
0,1,2,0,0,0,15,15,Malam
0,1,3,0,0,3,5,8,Malam
0,1,4,0,0,1,2,3,Malam
0,1,6,0,0,0,2,2,Pagi
0,1,7,0,0,1,4,5,Pagi
0,1,8,0,0,3,31,34,Pagi
0,1,9,0,0,0,34,34,Pagi
0,1,10,0,0,4,51,55,Pagi
0,1,11,0,0,4,60,64,Siang
0,1,12,0,0,12,66,78,Siang
0,1,13,0,0,9,56,65,Siang
0,1,14,0,0,10,89,99,Siang
0,1,15,0,0,22,98,120,Siang
0,1,16,0,0,19,88,107,Siang
0,1,17,0,0,9,82,91,Sore
0,1,18,0,0,9,59,68,Sore
0,1,19,0,0,6,52,58,Sore
0,1,20,0,0,1,42,43,Sore
0,1,21,0,0,1,35,36,Sore
0,1,22,0,0,4,28,32,Sore
0,1,23,0,0,3,30,33,
0,1,0,0,0,0,33,33,Malam
0,1,1,0,0,7,22,29,Malam
0,1,2,0,0,1,10,11,Malam
0,1,3,0,0,1,7,8,Malam
0,1,4,0,0,0,1,1,Malam
0,1,5,0,0,0,3,3,Pagi
0,1,7,0,0,0,3,3,Pagi
0,1,8,0,0,1,11,12,Pagi
0,1,9,0,0,4,34,38,Pagi
0,1,10,0,0,7,57,64,Pagi
0,1,11,0,0,9,50,59,Siang
0,1,12,0,0,10,87,97,Siang
0,1,13,0,0,13,71,84,Siang
0,1,14,0,0,18,104,122,Siang
0,1,15,0,0,14,95,109,Siang
0,1,16,0,0,19,104,123,Siang
0,1,17,0,0,6,71,77,Sore
0,1,18,0,0,8,57,65,Sore
0,1,19,0,0,9,46,55,Sore
0,1,20,0,0,3,30,33,Sore
0,1,21,0,0,3,25,28,Sore
0,1,22,0,0,2,19,21,Sore
0,1,23,0,0,5,16,21,
0,1,0,0,1,1,6,7,Malam
0,1,1,0,1,2,5,7,Malam
0,1,2,0,1,0,1,1,Malam
0,1,3,0,1,0,2,2,Malam
0,1,4,0,1,0,2,2,Malam
0,1,5,0,1,0,8,8,Pagi
0,1,6,0,1,0,37,37,Pagi
0,1,7,0,1,1,71,72,Pagi
0,1,8,0,1,3,182,185,Pagi
0,1,9,0,1,0,112,112,Pagi
0,1,10,0,1,1,68,69,Pagi
0,1,11,0,1,2,46,48,Siang
0,1,12,0,1,6,62,68,Siang
0,1,13,0,1,2,52,54,Siang
0,1,14,0,1,1,85,86,Siang
0,1,15,0,1,3,41,44,Siang
0,1,16,0,1,3,83,86,Siang
0,1,17,0,1,6,155,161,Sore
0,1,18,0,1,3,153,156,Sore
0,1,19,0,1,3,108,111,Sore
0,1,20,0,1,0,78,78,Sore
0,1,21,0,1,3,53,56,Sore
0,1,22,0,1,0,34,34,Sore
0,1,23,0,1,2,15,17,
0,2,0,0,1,2,6,8,Malam
0,2,1,0,1,0,3,3,Malam
0,2,2,0,1,0,2,2,Malam
0,2,3,0,1,0,2,2,Malam
